Engine_ID,Predicted_RUL,Actual_RUL
1,163,112
2,124,98
3,62,69
4,46,82
5,93,91
6,75,93
7,81,91
8,70,95
9,143,111
10,87,96
11,112,97
12,84,124
13,57,95
14,138,107
15,164,83
16,91,84
17,41,50
18,37,28
19,61,87
20,19,16
21,74,57
22,160,111
23,102,113
24,17,20
25,143,145
26,108,119
27,42,66
28,106,97
29,80,90
30,101,115
31,17,8
32,48,48
33,190,106
34,3,7
35,11,11
36,47,19
37,52,21
38,58,50
39,117,142
40,16,28
41,48,18
42,11,10
43,41,59
44,81,109
45,34,114
46,30,47
47,156,135
48,122,92
49,11,21
50,184,79
51,86,114
52,32,29
53,56,26
54,142,97
55,132,137
56,5,15
57,103,103
58,58,37
59,124,114
60,164,100
61,39,21
62,62,54
63,60,72
64,34,28
65,180,128
66,13,14
67,274,77
68,31,8
69,149,121
70,44,94
71,82,118
72,70,50
73,140,131
74,82,126
75,119,113
76,7,10
77,20,34
78,132,107
79,48,63
80,83,90
81,7,8
82,7,9
83,99,137
84,82,58
85,140,118
86,182,89
87,157,116
88,117,115
89,88,136
90,29,28
91,14,38
92,7,20
93,43,85
94,21,55
95,224,128
96,195,137
97,108,82
98,122,59
99,102,117
100,15,20
