Engine_ID,Predicted_RUL,Actual_RUL
1,145.0,112
2,177.0,98
3,76.0,69
4,110.0,82
5,102.0,91
6,100.0,93
7,104.0,91
8,75.0,95
9,114.0,111
10,74.0,96
11,181.0,97
12,58.0,124
13,66.0,95
14,163.0,107
15,131.0,83
16,132.0,84
17,102.0,50
18,21.0,28
19,152.0,87
20,10.0,16
21,160.0,57
22,177.0,111
23,134.0,113
24,56.0,20
25,230.0,145
26,60.0,119
27,158.0,66
28,54.0,97
29,133.0,90
30,47.0,115
31,32.0,8
32,44.0,48
33,145.0,106
34,0.0,7
35,5.0,11
36,16.0,19
37,30.0,21
38,82.0,50
39,300.0,142
40,30.0,28
41,55.0,18
42,6.0,10
43,103.0,59
44,145.0,109
45,55.0,114
46,129.0,47
47,80.0,135
48,204.0,92
49,28.0,21
50,256.0,79
51,85.0,114
52,48.0,29
53,100.0,26
54,148.0,97
55,132.0,137
56,44.0,15
57,45.0,103
58,16.0,37
59,121.0,114
60,77.0,100
61,20.0,21
62,127.0,54
63,112.0,72
64,33.0,28
65,224.0,128
66,22.0,14
67,127.0,77
68,8.0,8
69,91.0,121
70,88.0,94
71,115.0,118
72,59.0,50
73,133.0,131
74,101.0,126
75,62.0,113
76,45.0,10
77,103.0,34
78,130.0,107
79,48.0,63
80,75.0,90
81,0.0,8
82,12.0,9
83,125.0,137
84,48.0,58
85,234.0,118
86,43.0,89
87,206.0,116
88,159.0,115
89,46.0,136
90,29.0,28
91,23.0,38
92,32.0,20
93,36.0,85
94,113.0,55
95,252.0,128
96,100.0,137
97,74.0,82
98,88.0,59
99,117.0,117
100,8.0,20
