Engine_ID,Predicted_RUL,Actual_RUL
1,177,112
2,98,98
3,46,69
4,63,82
5,69,91
6,82,93
7,99,91
8,49,95
9,101,111
10,79,96
11,44,97
12,65,124
13,69,95
14,75,107
15,150,83
16,108,84
17,54,50
18,46,28
19,82,87
20,12,16
21,79,57
22,150,111
23,125,113
24,32,20
25,150,145
26,150,119
27,98,66
28,66,97
29,87,90
30,61,115
31,14,8
32,65,48
33,110,106
34,2,7
35,8,11
36,17,19
37,34,21
38,46,50
39,247,142
40,20,28
41,35,18
42,12,10
43,40,59
44,125,109
45,50,114
46,40,47
47,82,135
48,82,92
49,8,21
50,108,79
51,79,114
52,32,29
53,40,26
54,150,97
55,96,137
56,11,15
57,59,103
58,29,37
59,283,114
60,82,100
61,32,21
62,54,54
63,44,72
64,32,28
65,235,128
66,17,14
67,125,77
68,17,8
69,114,121
70,66,94
71,150,118
72,69,50
73,150,131
74,69,126
75,150,113
76,12,10
77,20,34
78,252,107
79,65,63
80,63,90
81,4,8
82,8,9
83,125,137
84,38,58
85,125,118
86,79,89
87,245,116
88,99,115
89,65,136
90,33,28
91,20,38
92,19,20
93,32,85
94,40,55
95,110,128
96,274,137
97,75,82
98,66,59
99,240,117
100,21,20
