Engine_ID,Predicted_RUL,Actual_RUL
1,114,112
2,174,98
3,41,69
4,29,82
5,46,91
6,49,93
7,28,91
8,41,95
9,87,111
10,41,96
11,81,97
12,33,124
13,37,95
14,133,107
15,92,83
16,90,84
17,28,50
18,26,28
19,61,87
20,9,16
21,42,57
22,108,111
23,70,113
24,20,20
25,126,145
26,77,119
27,68,66
28,44,97
29,45,90
30,47,115
31,9,8
32,43,48
33,60,106
34,2,7
35,3,11
36,24,19
37,29,21
38,48,50
39,99,142
40,7,28
41,44,18
42,7,10
43,21,59
44,73,109
45,35,114
46,14,47
47,94,135
48,94,92
49,12,21
50,91,79
51,46,114
52,16,29
53,25,26
54,83,97
55,102,137
56,15,15
57,49,103
58,22,37
59,98,114
60,49,100
61,15,21
62,34,54
63,20,72
64,20,28
65,109,128
66,12,14
67,128,77
68,3,8
69,165,121
70,34,94
71,111,118
72,39,50
73,68,131
74,64,126
75,84,113
76,12,10
77,21,34
78,163,107
79,77,63
80,75,90
81,0,8
82,1,9
83,65,137
84,18,58
85,143,118
86,61,89
87,88,116
88,105,115
89,68,136
90,19,28
91,11,38
92,8,20
93,17,85
94,38,55
95,100,128
96,93,137
97,37,82
98,54,59
99,91,117
100,6,20
