Engine_ID,Predicted_RUL,Actual_RUL
1,160,112
2,130,98
3,52,69
4,73,82
5,90,91
6,82,93
7,28,91
8,34,95
9,95,111
10,29,96
11,87,97
12,5,124
13,12,95
14,117,107
15,104,83
16,94,84
17,30,50
18,25,28
19,22,87
20,11,16
21,46,57
22,129,111
23,17,113
24,13,20
25,99,145
26,80,119
27,15,66
28,6,97
29,22,90
30,20,115
31,4,8
32,45,48
33,141,106
34,0,7
35,0,11
36,31,19
37,37,21
38,45,50
39,90,142
40,54,28
41,65,18
42,39,10
43,20,59
44,104,109
45,5,114
46,12,47
47,140,135
48,136,92
49,8,21
50,123,79
51,69,114
52,24,29
53,30,26
54,72,97
55,79,137
56,1,15
57,33,103
58,54,37
59,53,114
60,24,100
61,13,21
62,49,54
63,18,72
64,5,28
65,81,128
66,6,14
67,128,77
68,11,8
69,83,121
70,56,94
71,69,118
72,82,50
73,101,131
74,28,126
75,78,113
76,4,10
77,47,34
78,82,107
79,84,63
80,51,90
81,1,8
82,51,9
83,141,137
84,16,58
85,153,118
86,68,89
87,121,116
88,110,115
89,36,136
90,7,28
91,105,38
92,4,20
93,13,85
94,22,55
95,169,128
96,105,137
97,22,82
98,34,59
99,59,117
100,0,20
