Engine_ID,Predicted_RUL,Actual_RUL
1,172,112
2,146,98
3,57,69
4,90,82
5,76,91
6,88,93
7,76,91
8,50,95
9,151,111
10,70,96
11,109,97
12,43,124
13,51,95
14,134,107
15,130,83
16,90,84
17,35,50
18,35,28
19,90,87
20,23,16
21,62,57
22,134,111
23,107,113
24,32,20
25,148,145
26,138,119
27,90,66
28,70,97
29,82,90
30,61,115
31,16,8
32,70,48
33,167,106
34,1,7
35,4,11
36,35,19
37,45,21
38,82,50
39,191,142
40,17,28
41,57,18
42,13,10
43,35,59
44,167,109
45,62,114
46,51,47
47,148,135
48,136,92
49,4,21
50,143,79
51,90,114
52,38,29
53,35,26
54,98,97
55,126,137
56,26,15
57,76,103
58,30,37
59,114,114
60,89,100
61,18,21
62,54,54
63,37,72
64,35,28
65,284,128
66,15,14
67,99,77
68,4,8
69,168,121
70,72,94
71,143,118
72,76,50
73,143,131
74,84,126
75,99,113
76,16,10
77,35,34
78,138,107
79,106,63
80,70,90
81,7,8
82,7,9
83,126,137
84,38,58
85,178,118
86,90,89
87,184,116
88,154,115
89,72,136
90,27,28
91,12,38
92,23,20
93,25,85
94,41,55
95,120,128
96,126,137
97,76,82
98,35,59
99,124,117
100,13,20
