Engine_ID,Predicted_RUL,Actual_RUL
1,177,112
2,122,98
3,57,69
4,63,82
5,100,91
6,82,93
7,99,91
8,76,95
9,119,111
10,70,96
11,90,97
12,60,124
13,51,95
14,140,107
15,134,83
16,92,84
17,54,50
18,47,28
19,79,87
20,23,16
21,90,57
22,134,111
23,106,113
24,14,20
25,143,145
26,172,119
27,88,66
28,61,97
29,72,90
30,61,115
31,8,8
32,61,48
33,172,106
34,14,7
35,9,11
36,29,19
37,45,21
38,34,50
39,172,142
40,26,28
41,74,18
42,28,10
43,57,59
44,157,109
45,43,114
46,40,47
47,115,135
48,82,92
49,20,21
50,98,79
51,78,114
52,24,29
53,40,26
54,150,97
55,96,137
56,37,15
57,68,103
58,29,37
59,152,114
60,87,100
61,38,21
62,47,54
63,54,72
64,45,28
65,275,128
66,5,14
67,167,77
68,13,8
69,130,121
70,68,94
71,148,118
72,82,50
73,120,131
74,69,126
75,128,113
76,5,10
77,42,34
78,206,107
79,96,63
80,63,90
81,7,8
82,20,9
83,152,137
84,59,58
85,192,118
86,93,89
87,271,116
88,154,115
89,72,136
90,27,28
91,35,38
92,23,20
93,39,85
94,40,55
95,130,128
96,136,137
97,78,82
98,84,59
99,124,117
100,8,20
