Engine_ID,Predicted_RUL,Actual_RUL
1,154,112
2,157,98
3,74,69
4,63,82
5,100,91
6,88,93
7,99,91
8,76,95
9,151,111
10,70,96
11,90,97
12,65,124
13,51,95
14,140,107
15,134,83
16,70,84
17,54,50
18,30,28
19,90,87
20,6,16
21,90,57
22,134,111
23,78,113
24,27,20
25,134,145
26,98,119
27,88,66
28,71,97
29,72,90
30,61,115
31,9,8
32,61,48
33,167,106
34,2,7
35,4,11
36,9,19
37,45,21
38,34,50
39,144,142
40,17,28
41,35,18
42,5,10
43,30,59
44,138,109
45,38,114
46,40,47
47,115,135
48,124,92
49,35,21
50,120,79
51,90,114
52,38,29
53,17,26
54,102,97
55,96,137
56,4,15
57,51,103
58,29,37
59,114,114
60,82,100
61,12,21
62,61,54
63,61,72
64,24,28
65,147,128
66,6,14
67,99,77
68,17,8
69,134,121
70,88,94
71,143,118
72,82,50
73,88,131
74,69,126
75,111,113
76,5,10
77,20,34
78,126,107
79,122,63
80,70,90
81,2,8
82,4,9
83,154,137
84,38,58
85,192,118
86,93,89
87,126,116
88,143,115
89,72,136
90,27,28
91,35,38
92,6,20
93,39,85
94,27,55
95,120,128
96,90,137
97,78,82
98,99,59
99,124,117
100,20,20
